10-13,NYK-BOS,81-111,Preseason,
15-28,28-24,24-31,14-28,
NYK
Andrea Bargnani,,23,2,8,0.250,1,2,0.500,6,6,1.000,1,2,3,1,1,1,1,4,11,0
CJ Leslie,,12,2,4,0.500,0,0,0.000,1,2,0.500,2,2,4,1,2,0,1,0,5,0
Chris Smith,,8,1,3,0.333,0,1,0.000,1,2,0.500,1,1,2,0,0,0,1,0,3,0
Cole Aldrich,,16,1,2,0.500,0,0,0.000,0,0,0.000,2,2,4,0,1,0,2,0,2,0
Ike Diogu,,32,6,11,0.545,0,0,0.000,9,11,0.818,5,3,8,0,0,0,0,4,21,0
Iman Shumpert,,27,2,9,0.222,1,3,0.333,1,1,1.000,1,3,4,2,0,0,0,4,6,0
Josh Powell,,26,3,5,0.600,0,0,0.000,0,0,0.000,2,1,3,0,1,1,0,4,6,0
Pablo Prigioni,,16,0,4,0.000,0,1,0.000,0,0,0.000,0,0,0,1,1,0,1,0,0,0
Tim Hardaway Jr.,,36,3,16,0.188,1,6,0.167,2,3,0.667,1,1,2,1,0,0,1,2,9,0
Toure Murry,,31,8,21,0.381,0,5,0.000,0,0,0.000,0,4,4,2,1,0,4,3,16,0
BOS
Avery Bradley,,24,6,10,0.600,1,1,1.000,0,0,0.000,1,3,4,2,0,0,1,1,13,0
Brandon Bass,,18,3,4,0.750,0,0,0.000,2,3,0.667,2,5,7,1,0,0,0,4,8,0
Chris Babb,,8,1,3,0.333,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,0
Courtney Lee,,16,3,4,0.750,1,2,0.500,0,0,0.000,0,2,2,3,0,0,0,2,7,0
DeShawn Sims,,5,0,2,0.000,0,2,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,0
Jared Sullinger,,22,3,5,0.600,1,2,0.500,5,7,0.714,1,4,5,1,0,1,1,3,12,0
Jeff Green,,29,3,12,0.250,2,6,0.333,3,3,1.000,0,1,1,3,0,0,3,2,11,0
Jordan Crawford,,26,5,7,0.714,3,5,0.600,0,0,0.000,0,7,7,3,1,0,4,0,13,0
Kammron Taylor,,3,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0
Kelly Olynyk,,25,5,6,0.833,1,2,0.500,4,4,1.000,1,5,6,3,2,1,1,3,15,0
Kris Humphries,,9,1,2,0.500,0,0,0.000,2,4,0.500,0,1,1,0,0,2,0,1,4,0
MarShon Brooks,,16,4,5,0.800,0,1,0.000,5,6,0.833,1,1,2,2,3,0,3,1,13,0
Phil Pressey,,19,2,4,0.500,1,3,0.333,1,1,1.000,0,3,3,1,1,1,3,2,6,0
Vitor Faverani,,17,3,7,0.429,0,1,0.000,1,2,0.500,2,3,5,0,0,2,1,1,7,0
