10-18,NYK-WAS,98-89,Preseason,
29-30,30-16,19-22,20-21,
NYK
Andrea Bargnani,,25,4,7,0.571,1,2,0.500,4,4,1.000,0,2,2,0,0,3,3,3,13,0
Beno Udrih,,26,5,9,0.556,2,4,0.500,0,1,0.000,1,2,3,2,1,0,2,0,12,0
Carmelo Anthony,,29,8,17,0.471,1,5,0.200,5,6,0.833,0,5,5,4,1,0,1,3,22,0
Chris Smith,,7,0,3,0.000,0,1,0.000,0,0,0.000,0,0,0,2,1,0,0,1,0,0
Cole Aldrich,,4,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,1,0,1,0,0
Ike Diogu,,23,5,9,0.556,0,0,0.000,0,0,0.000,2,6,8,0,0,0,3,3,10,0
Iman Shumpert,,10,2,4,0.500,0,2,0.000,0,0,0.000,1,1,2,2,0,0,1,1,4,0
Josh Powell,,19,0,4,0.000,0,0,0.000,0,0,0.000,1,2,3,2,0,2,0,2,0,0
Pablo Prigioni,,14,1,2,0.500,1,2,0.500,0,0,0.000,0,1,1,2,1,0,0,0,3,0
Raymond Felton,,15,2,4,0.500,2,2,1.000,0,0,0.000,0,2,2,2,0,0,2,0,6,0
Tim Hardaway Jr.,,36,5,12,0.417,3,6,0.500,1,2,0.500,1,4,5,1,1,0,2,2,14,0
Toure Murry,,25,5,7,0.714,1,1,1.000,3,4,0.750,1,1,2,2,2,0,1,2,14,0
Tyson Chandler,,6,0,2,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,0,2,0,0
WAS
Al Harrington,,14,1,6,0.167,0,2,0.000,2,4,0.500,0,1,1,0,1,0,1,3,4,0
Bradley Beal,,30,8,17,0.471,3,8,0.375,2,2,1.000,0,3,3,0,1,0,2,0,21,0
Eric Maynor,,21,1,6,0.167,0,2,0.000,0,0,0.000,0,1,1,3,2,0,1,1,2,0
Glen Rice Jr.,,19,2,8,0.250,0,5,0.000,0,2,0.000,1,5,6,2,0,0,3,1,4,0
Jan Vesely,,16,2,4,0.500,0,0,0.000,0,0,0.000,4,4,8,0,0,0,1,1,4,0
John Wall,,28,6,15,0.400,1,6,0.167,1,1,1.000,0,2,2,8,2,0,0,2,14,0
Josh Childress,,10,0,0,0.000,0,0,0.000,0,0,0.000,1,3,4,0,0,0,0,1,0,0
Kevin Seraphin,,31,4,8,0.500,0,0,0.000,3,4,0.750,1,6,7,2,1,3,1,4,11,0
Martell Webster,,21,3,6,0.500,0,2,0.000,7,8,0.875,0,1,1,0,0,0,1,3,13,0
Trevor Ariza,,21,3,10,0.300,0,4,0.000,0,0,0.000,0,1,1,2,1,0,1,2,6,0
Trevor Booker,,24,3,3,1.000,0,0,0.000,1,4,0.250,4,5,9,3,0,1,1,3,7,0
Xavier Silas,,3,1,3,0.333,1,2,0.500,0,0,0.000,0,0,0,0,0,0,0,0,3,0
