11-03,TOR-MIL,97-90,Team,
25-19,26-27,26-19,20-25,
TOR
Rudy Gay,F,35:21,4,14,0.286,2,5,0.400,8,10,0.800,2,13,15,0,3,0,5,2,18,2.000
Amir Johnson,F,32:36,5,7,0.714,1,2,0.500,0,0,0.000,5,3,8,3,0,0,1,2,11,13.000
Jonas Valanciunas,C,16:16,3,8,0.375,0,0,0.000,1,2,0.500,3,3,6,0,0,0,2,3,7,-1.000
DeMar DeRozan,G,34:56,5,14,0.357,1,3,0.333,6,8,0.750,1,5,6,5,2,0,2,1,17,17.000
Kyle Lowry,G,34:08,5,14,0.357,2,4,0.500,2,4,0.500,1,5,6,4,0,0,0,3,14,11.000
Tyler Hansbrough,,16:04,2,3,0.667,0,0,0.000,3,4,0.750,4,2,6,0,0,0,1,3,7,0.000
Landry Fields,,28:25,3,7,0.429,0,2,0.000,5,6,0.833,1,4,5,4,0,0,1,2,11,3.000
D.J. Augustin,,13:52,0,4,0.000,0,3,0.000,2,2,1.000,0,1,1,1,1,0,3,1,2,-4.000
Terrence Ross,,22:19,2,5,0.400,1,4,0.250,1,2,0.500,0,5,5,1,0,0,2,4,6,-3.000
Aaron Gray,,6:03,2,2,1.000,0,0,0.000,0,0,0.000,1,1,2,1,0,0,0,1,4,-3.000
MIL
Caron Butler,F,25:06,3,9,0.333,1,4,0.250,5,6,0.833,0,6,6,0,0,0,1,3,12,-9.000
Ersan Ilyasova,F,23:30,6,12,0.500,2,2,1.000,0,0,0.000,2,2,4,2,0,1,2,1,14,0.000
Larry Sanders,C,21:37,2,8,0.250,0,0,0.000,0,0,0.000,1,3,4,1,0,1,0,2,4,-1.000
Nate Wolters,G,36:30,3,8,0.375,0,3,0.000,1,2,0.500,0,4,4,10,0,0,1,4,7,-1.000
Gary Neal,G,25:54,3,10,0.300,0,2,0.000,2,2,1.000,0,5,5,4,1,0,2,1,8,-5.000
O.J. Mayo,,32:35,6,13,0.462,3,5,0.600,1,2,0.500,1,5,6,8,1,1,4,2,16,-6.000
Zaza Pachulia,,14:23,3,4,0.750,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,3,6,-11.000
Khris Middleton,,18:58,4,9,0.444,0,1,0.000,0,2,0.000,0,1,1,0,2,1,0,4,8,-1.000
John Henson,,24:30,6,9,0.667,0,0,0.000,1,2,0.500,1,2,3,0,2,1,2,5,13,-7.000
Giannis Antetokounmpo,,16:57,1,2,0.500,0,0,0.000,0,2,0.000,0,2,2,0,1,0,0,1,2,6.000
