11-23,ATL-DET,96-89,Team,
27-22,22-22,24-24,23-21,
ATL
DeMarre Carroll,F,27:32,4,9,0.444,1,4,0.250,3,4,0.750,4,0,4,1,3,0,1,4,12,5.000
Paul Millsap,F,34:24,6,14,0.429,0,1,0.000,2,3,0.667,2,5,7,1,2,0,0,3,14,5.000
Al Horford,C,32:36,7,14,0.500,0,0,0.000,3,6,0.500,3,8,11,3,1,0,3,0,17,14.000
Kyle Korver,G,32:54,5,8,0.625,4,6,0.667,0,0,0.000,0,3,3,2,0,0,1,3,14,10.000
Jeff Teague,G,33:48,7,17,0.412,0,2,0.000,4,5,0.800,2,4,6,9,2,1,4,1,18,6.000
John Jenkins,,18:13,2,6,0.333,1,4,0.250,1,1,1.000,0,5,5,0,0,0,2,0,6,7.000
Mike Scott,,13:36,3,6,0.500,2,3,0.667,1,2,0.500,0,4,4,0,0,0,0,0,9,2.000
Cartier Martin,,12:56,1,5,0.200,0,3,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,-4.000
Gustavo Ayon,,15:24,0,0,0.000,0,0,0.000,0,0,0.000,0,4,4,2,1,1,0,2,0,-7.000
Shelvin Mack,,18:37,2,6,0.333,0,0,0.000,0,0,0.000,0,1,1,2,1,0,3,1,4,-3.000
DET
Kyle Singler,F,41:14,9,13,0.692,1,2,0.500,3,4,0.750,0,3,3,1,1,1,2,4,22,-10.000
Greg Monroe,F,28:45,4,9,0.444,0,0,0.000,3,4,0.750,3,8,11,1,1,1,2,1,11,-1.000
Andre Drummond,C,35:17,6,7,0.857,0,0,0.000,3,8,0.375,4,12,16,0,0,2,0,3,15,3.000
Brandon Jennings,G,38:12,4,16,0.250,0,4,0.000,0,0,0.000,1,1,2,14,1,0,5,4,8,-8.000
Rodney Stuckey,,30:48,6,15,0.400,0,0,0.000,5,6,0.833,0,5,5,1,0,0,1,3,17,-10.000
Josh Smith,,19:32,0,7,0.000,0,1,0.000,0,0,0.000,0,7,7,1,1,3,2,0,0,-8.000
Peyton Siva,,4:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,3,0,0,-1.000
Josh Harrellson,,11:13,3,3,1.000,1,1,1.000,0,0,0.000,1,4,5,0,0,0,0,1,7,-8.000
Jonas Jerebko,,2:22,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,4.000
