12-07,CLE-ATL,89-108,Team,
20-37,23-26,21-19,25-26,
CLE
Alonzo Gee,F,10:33,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-12.000
Tristan Thompson,F,34:56,4,9,0.444,0,0,0.000,1,2,0.500,3,8,11,1,1,0,0,1,9,-20.000
Andrew Bynum,C,26:37,9,14,0.643,0,0,0.000,2,7,0.286,9,4,13,2,0,2,3,1,20,-11.000
CJ Miles,G,11:46,1,8,0.125,1,4,0.250,0,0,0.000,0,2,2,0,0,0,2,2,3,-14.000
Kyrie Irving,G,20:28,0,9,0.000,0,3,0.000,0,3,0.000,0,4,4,4,0,0,0,1,0,-19.000
Dion Waiters,,34:42,13,20,0.650,1,4,0.250,3,3,1.000,0,2,2,1,0,0,2,0,30,-7.000
Jarrett Jack,,28:56,4,10,0.400,2,4,0.500,2,2,1.000,0,3,3,3,1,0,1,2,12,-6.000
Anderson Varejao,,20:41,1,6,0.167,0,0,0.000,0,0,0.000,1,5,6,4,1,0,0,1,2,3.000
Anthony Bennett,,9:13,0,3,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-12.000
Earl Clark,,6:25,1,3,0.333,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,-6.000
Tyler Zeller,,7:15,2,3,0.667,0,0,0.000,0,0,0.000,2,1,3,0,0,0,1,1,4,-4.000
Matthew Dellavedova,,25:37,3,7,0.429,1,2,0.500,0,0,0.000,1,0,1,4,1,0,1,2,7,13.000
Sergey Karasev,,2:51,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,0.000
ATL
DeMarre Carroll,F,27:03,4,10,0.400,0,3,0.000,2,3,0.667,1,7,8,2,1,0,2,3,10,2.000
Paul Millsap,F,27:18,7,14,0.500,1,3,0.333,1,3,0.333,7,7,14,5,1,0,0,0,16,15.000
Al Horford,C,31:14,10,19,0.526,0,1,0.000,2,2,1.000,3,6,9,4,2,2,2,1,22,12.000
Kyle Korver,G,31:59,4,6,0.667,2,3,0.667,0,0,0.000,0,1,1,2,0,0,0,1,10,8.000
Jeff Teague,G,24:59,6,14,0.429,1,4,0.250,0,0,0.000,0,0,0,6,1,0,1,2,13,6.000
Elton Brand,,14:04,0,1,0.000,0,0,0.000,0,0,0.000,2,2,4,0,0,1,2,5,0,6.000
Lou Williams,,26:45,5,11,0.455,2,6,0.333,1,3,0.333,0,1,1,3,0,0,3,2,13,13.000
Shelvin Mack,,19:25,3,8,0.375,0,1,0.000,0,0,0.000,0,2,2,5,1,0,0,1,6,13.000
Cartier Martin,,11:04,5,5,1.000,2,2,1.000,0,0,0.000,0,4,4,0,0,0,1,1,12,15.000
Gustavo Ayon,,20:27,3,3,1.000,0,0,0.000,0,0,0.000,1,6,7,3,0,0,0,2,6,5.000
Jared Cunningham,,2:51,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,0,0,0.000
Mike Scott,,2:51,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
