12-08,GSW-MEM,108-82,Team,
29-19,20-24,28-17,31-22,
GSW
Harrison Barnes,F,35:35,4,10,0.400,1,2,0.500,0,0,0.000,0,4,4,0,0,0,3,1,9,24.000
David Lee,F,38:57,10,21,0.476,0,0,0.000,3,4,0.750,4,7,11,0,3,1,0,1,23,17.000
Andrew Bogut,C,27:08,4,8,0.500,0,0,0.000,0,0,0.000,7,5,12,1,1,2,2,2,8,11.000
Klay Thompson,G,37:52,12,19,0.632,3,5,0.600,3,3,1.000,0,3,3,5,2,0,2,2,30,20.000
Stephen Curry,G,45:21,7,16,0.438,2,7,0.286,6,7,0.857,1,5,6,15,0,1,1,4,22,21.000
Draymond Green,,21:07,2,5,0.400,1,3,0.333,0,0,0.000,0,5,5,1,0,0,1,4,5,14.000
Marreese Speights,,10:14,3,5,0.600,0,0,0.000,0,0,0.000,2,2,4,1,0,0,0,2,6,15.000
Kent Bazemore,,3:26,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
Nemanja Nedovic,,3:22,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,1,0,0,0,0,3,2.000
MEM
Tayshaun Prince,F,19:42,2,7,0.286,0,0,0.000,0,0,0.000,1,1,2,0,1,0,1,0,4,-15.000
Zach Randolph,F,33:43,6,13,0.462,0,1,0.000,3,4,0.750,1,5,6,4,1,1,0,3,15,-26.000
Kosta Koufos,C,32:35,4,13,0.308,0,0,0.000,2,2,1.000,9,7,16,1,1,2,2,2,10,-13.000
Quincy Pondexter,G,12:53,1,3,0.333,0,2,0.000,2,2,1.000,1,0,1,1,0,0,0,1,4,-7.000
Mike Conley,G,30:29,4,12,0.333,0,0,0.000,4,4,1.000,0,0,0,2,1,1,2,1,12,-8.000
Jon Leuer,,29:38,6,11,0.545,0,2,0.000,3,4,0.750,2,4,6,0,2,0,1,0,15,-13.000
Jerryd Bayless,,24:17,0,11,0.000,0,2,0.000,2,2,1.000,1,0,1,2,2,2,0,1,2,-5.000
Mike Miller,,28:18,7,9,0.778,2,3,0.667,0,0,0.000,1,4,5,1,0,0,1,0,16,-11.000
Nick Calathes,,23:08,1,4,0.250,0,0,0.000,2,4,0.500,1,1,2,2,0,0,1,2,4,-25.000
Jamaal Franklin,,5:17,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-7.000
