12-22,LAL-GSW,83-102,Team,
26-27,16-19,15-26,26-30,
LAL
Wesley Johnson,F,38:31,0,7,0.000,0,5,0.000,2,2,1.000,1,4,5,2,1,0,3,3,2,-11.000
Jordan Hill,F,19:60,6,11,0.545,0,0,0.000,2,2,1.000,5,5,10,0,0,0,2,3,14,-6.000
Chris Kaman,C,28:19,5,17,0.294,0,1,0.000,0,0,0.000,2,15,17,1,0,3,2,3,10,-8.000
Jodie Meeks,G,33:26,4,11,0.364,1,3,0.333,4,5,0.800,1,3,4,4,3,0,4,0,13,-13.000
Xavier Henry,G,35:59,2,9,0.222,0,3,0.000,9,10,0.900,0,3,3,2,2,0,3,2,13,-19.000
Nick Young,,30:38,5,18,0.278,1,6,0.167,9,12,0.750,2,2,4,0,1,0,4,3,20,-13.000
Shawne Williams,,23:09,1,2,0.500,1,1,1.000,0,0,0.000,0,2,2,1,1,0,1,4,3,-14.000
Robert Sacre,,19:40,2,4,0.500,0,0,0.000,1,2,0.500,1,3,4,1,0,2,1,0,5,-11.000
Kendall Marshall,,5:54,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,0,0,0,4,0,3,-1.000
Ryan Kelly,,4:24,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,1.000
GSW
Andre Iguodala,F,24:24,1,6,0.167,0,3,0.000,1,2,0.500,1,1,2,1,2,0,3,4,3,8.000
David Lee,F,32:45,8,18,0.444,0,0,0.000,3,4,0.750,3,7,10,0,1,0,3,3,19,22.000
Andrew Bogut,C,27:55,6,12,0.500,0,0,0.000,0,0,0.000,9,11,20,0,1,2,2,3,12,9.000
Klay Thompson,G,32:46,5,15,0.333,4,8,0.500,3,4,0.750,0,3,3,2,2,0,2,3,17,19.000
Stephen Curry,G,32:43,5,15,0.333,4,9,0.444,4,4,1.000,1,5,6,10,3,0,1,2,18,26.000
Draymond Green,,20:45,2,4,0.500,1,3,0.333,2,2,1.000,1,4,5,4,2,0,3,2,7,2.000
Harrison Barnes,,25:49,3,7,0.429,1,2,0.500,1,1,1.000,0,2,2,0,1,0,0,1,8,14.000
Marreese Speights,,13:32,5,9,0.556,0,1,0.000,0,0,0.000,1,2,3,0,1,2,0,1,10,8.000
Toney Douglas,,15:20,1,6,0.167,1,4,0.250,0,0,0.000,0,3,3,1,1,1,2,2,3,-7.000
Kent Bazemore,,11:01,2,5,0.400,1,1,1.000,0,0,0.000,0,1,1,1,0,0,0,3,5,-1.000
Hilton Armstrong,,3:00,0,1,0.000,0,0,0.000,0,2,0.000,0,0,0,0,0,0,0,0,0,-5.000
