12-26,MIA-LAL,101-95,Team,
21-27,30-19,25-28,25-21,
MIA
LeBron James,F,35:48,7,14,0.500,0,4,0.000,5,9,0.556,0,8,8,4,0,0,2,2,19,0.000
Shane Battier,F,16:52,1,5,0.200,1,5,0.200,0,0,0.000,0,2,2,1,0,0,0,2,3,-2.000
Chris Bosh,C,31:07,9,18,0.500,0,2,0.000,5,6,0.833,4,7,11,2,1,0,0,3,23,7.000
Dwyane Wade,G,38:46,11,17,0.647,1,1,1.000,0,2,0.000,1,5,6,7,3,0,3,1,23,17.000
Mario Chalmers,G,30:58,3,7,0.429,1,3,0.333,0,0,0.000,1,5,6,7,2,0,2,1,7,3.000
Ray Allen,,21:26,4,5,0.800,4,5,0.800,0,0,0.000,0,2,2,2,1,1,0,1,12,-5.000
Rashard Lewis,,19:20,1,5,0.200,1,5,0.200,0,0,0.000,1,0,1,2,1,0,1,3,3,-1.000
Chris Andersen,,8:20,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,1,1,2,2,0.000
Norris Cole,,28:50,3,6,0.500,1,2,0.500,0,0,0.000,0,4,4,3,1,0,2,2,7,12.000
Udonis Haslem,,8:33,1,2,0.500,0,0,0.000,0,0,0.000,0,2,2,1,0,0,1,3,2,-1.000
LAL
Wesley Johnson,F,26:39,4,10,0.400,4,9,0.444,0,0,0.000,0,2,2,2,0,0,2,4,12,-12.000
Shawne Williams,F,15:58,1,4,0.250,1,4,0.250,0,0,0.000,0,5,5,0,0,0,0,2,3,-5.000
Pau Gasol,C,28:40,6,12,0.500,0,0,0.000,1,2,0.500,3,10,13,3,1,1,1,1,13,-7.000
Jodie Meeks,G,37:33,6,12,0.500,4,10,0.400,1,2,0.500,1,3,4,3,2,0,3,3,17,-1.000
Jordan Farmar,G,32:30,1,7,0.143,0,4,0.000,1,2,0.500,1,4,5,2,0,0,4,1,3,-5.000
Xavier Henry,,25:57,5,8,0.625,0,1,0.000,4,7,0.571,2,3,5,2,2,0,4,3,14,-6.000
Jordan Hill,,24:16,2,6,0.333,0,0,0.000,5,9,0.556,4,6,10,1,3,3,1,1,9,0.000
Nick Young,,31:37,7,18,0.389,4,7,0.571,2,2,1.000,1,1,2,1,0,0,2,2,20,3.000
Ryan Kelly,,16:50,1,2,0.500,1,1,1.000,1,2,0.500,0,1,1,1,0,0,0,2,4,3.000
