02-06,DAL-SAC,101-78,Team,
23-23,37-20,23-17,18-18,
DAL
Chandler Parsons,F,25:26,2,9,0.222,2,4,0.500,0,0,0.000,0,3,3,4,1,0,2,1,6,14.000
Tyson Chandler,C,29:30,7,9,0.778,0,0,0.000,2,3,0.667,2,14,16,1,1,0,1,1,16,26.000
Monta Ellis,G,30:29,9,16,0.563,3,6,0.500,0,0,0.000,1,1,2,6,3,0,3,1,21,23.000
Jose Juan Barea,G,31:36,7,12,0.583,1,5,0.200,0,0,0.000,0,3,3,5,0,1,1,1,15,18.000
Dwight Powell,,4:22,2,5,0.400,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,2,4,-5.000
Greg Smith,,13:24,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,2,0,-3.000
Charlie Villanueva,,25:14,4,14,0.286,0,6,0.000,0,0,0.000,2,6,8,2,0,2,0,2,8,14.000
Devin Harris,,19:03,4,8,0.500,3,5,0.600,4,4,1.000,0,1,1,2,0,1,0,0,15,9.000
Richard Jefferson,,28:53,5,11,0.455,3,6,0.500,1,3,0.333,1,5,6,0,1,0,0,4,14,13.000
Raymond Felton,,6:17,0,3,0.000,0,0,0.000,0,0,0.000,0,1,1,3,0,0,0,1,0,-2.000
Ricky Ledo,,3:40,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-2.000
SAC
Rudy Gay,F,33:25,2,13,0.154,0,4,0.000,7,8,0.875,1,8,9,4,1,1,2,2,11,-21.000
Jason Thompson,F,18:03,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,0,1,1,0,1,0,-20.000
DeMarcus Cousins,C,37:41,8,16,0.500,0,0,0.000,7,8,0.875,1,10,11,3,1,2,6,3,23,-22.000
Ben McLemore,G,24:06,2,9,0.222,1,7,0.143,0,0,0.000,0,3,3,2,0,0,1,2,5,-25.000
Darren Collison,G,14:28,3,3,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,3,2,6,-10.000
Nik Stauskas,,23:29,1,10,0.100,1,6,0.167,0,0,0.000,1,3,4,1,1,0,2,0,3,5.000
Ramon Sessions,,18:34,3,4,0.750,0,0,0.000,1,2,0.500,0,0,0,2,0,0,0,2,7,-13.000
Derrick Williams,,19:09,3,4,0.750,1,1,1.000,0,0,0.000,0,1,1,1,0,0,0,0,7,-7.000
Omri Casspi,,13:42,2,3,0.667,0,0,0.000,1,1,1.000,1,4,5,0,0,0,1,2,5,-4.000
Carl Landry,,9:48,1,3,0.333,0,0,0.000,1,3,0.333,2,1,3,0,0,1,2,3,3,1.000
Ray McCallum,,15:23,2,10,0.200,0,2,0.000,0,0,0.000,1,3,4,0,0,0,0,0,4,-3.000
Quincy Miller,,6:17,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,0,1,1,0,1,0,2.000
Ryan Hollins,,5:55,2,2,1.000,0,0,0.000,0,0,0.000,0,4,4,0,0,2,0,0,4,2.000
