02-11,SAC-CHI,86-104,Team,
26-30,23-27,15-27,22-20,
SAC
Rudy Gay,F,39:49,10,18,0.556,1,4,0.250,3,5,0.600,1,6,7,5,1,0,3,3,24,-17.000
Jason Thompson,F,18:42,3,5,0.600,0,0,0.000,1,2,0.500,2,5,7,0,0,0,0,3,7,-13.000
DeMarcus Cousins,C,35:22,5,15,0.333,0,0,0.000,5,10,0.500,1,7,8,8,0,1,2,4,15,-16.000
Ben McLemore,G,35:57,5,10,0.500,1,4,0.250,0,0,0.000,1,1,2,0,1,1,1,1,11,-13.000
Ramon Sessions,G,21:57,1,6,0.167,0,3,0.000,1,2,0.500,0,1,1,2,0,0,2,1,3,-19.000
Reggie Evans,,14:59,1,2,0.500,0,0,0.000,1,2,0.500,2,4,6,2,0,0,0,1,3,-4.000
Ray McCallum,,26:03,5,9,0.556,0,1,0.000,1,2,0.500,3,0,3,4,0,0,2,0,11,1.000
Omri Casspi,,17:43,2,5,0.400,0,0,0.000,2,4,0.500,1,2,3,0,1,0,2,0,6,-5.000
Carl Landry,,23:38,3,4,0.750,0,0,0.000,0,0,0.000,2,5,7,1,0,1,0,1,6,-2.000
Ryan Hollins,,2:55,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,0,0,-1.000
Nik Stauskas,,2:55,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-1.000
CHI
Mike Dunleavy,F,24:21,2,5,0.400,1,3,0.333,0,0,0.000,0,1,1,3,0,0,1,2,5,13.000
Pau Gasol,F,37:37,11,15,0.733,0,0,0.000,4,4,1.000,2,14,16,3,0,0,1,3,26,9.000
Joakim Noah,C,17:29,1,4,0.250,0,0,0.000,0,0,0.000,0,2,2,4,0,0,0,5,2,15.000
Jimmy Butler,G,22:05,2,8,0.250,0,1,0.000,1,2,0.500,0,2,2,2,0,0,0,0,5,5.000
Derrick Rose,G,32:36,10,17,0.588,1,4,0.250,2,3,0.667,0,1,1,7,2,1,0,0,23,17.000
Tony Snell,,40:55,9,11,0.818,4,6,0.667,2,2,1.000,0,2,2,2,1,0,0,3,24,14.000
Aaron Brooks,,13:58,2,4,0.500,0,1,0.000,0,0,0.000,0,2,2,3,1,0,3,1,4,-2.000
Taj Gibson,,34:14,3,8,0.375,0,0,0.000,3,3,1.000,2,1,3,2,3,2,1,5,9,4.000
Nikola Mirotic,,12:01,1,5,0.200,1,5,0.200,0,0,0.000,0,2,2,0,1,0,1,2,3,3.000
Doug McDermott,,1:06,1,2,0.500,0,0,0.000,1,1,1.000,0,1,1,0,0,0,0,0,3,3.000
Cameron Bairstow,,1:06,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
Nazr Mohammed,,1:06,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,0,3.000
