02-26,LAC-HOU,105-110,Team,
26-27,34-35,25-22,20-26,
LAC
Matt Barnes,F,32:23,2,10,0.200,2,7,0.286,0,0,0.000,1,5,6,2,0,0,0,3,6,2.000
Spencer Hawes,F,30:55,1,9,0.111,1,5,0.200,4,4,1.000,1,7,8,1,1,1,4,4,7,-3.000
DeAndre Jordan,C,37:33,9,12,0.750,0,0,0.000,4,8,0.500,4,15,19,1,0,2,3,4,22,0.000
JJ Redick,G,30:14,6,12,0.500,3,6,0.500,0,0,0.000,1,1,2,0,0,0,2,3,15,1.000
Chris Paul,G,38:32,8,18,0.444,2,4,0.500,4,4,1.000,1,2,3,14,0,0,2,4,22,4.000
Jamal Crawford,,33:17,10,17,0.588,3,7,0.429,1,1,1.000,0,2,2,0,0,0,2,0,24,-7.000
Glen Davis,,14:52,2,4,0.500,0,0,0.000,0,0,0.000,4,2,6,0,0,0,0,2,4,-2.000
Austin Rivers,,14:40,2,8,0.250,0,2,0.000,1,2,0.500,0,3,3,0,0,1,2,1,5,-8.000
Hedo Turkoglu,,7:35,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-12.000
HOU
Trevor Ariza,F,34:30,6,11,0.545,5,9,0.556,0,0,0.000,0,4,4,4,0,0,1,3,17,10.000
Terrence Jones,F,32:20,6,13,0.462,0,1,0.000,2,3,0.667,4,4,8,1,0,5,1,3,14,0.000
Donatas Motiejunas,C,33:33,7,11,0.636,3,4,0.750,1,2,0.500,3,6,9,1,0,1,2,3,18,1.000
James Harden,G,36:29,4,13,0.308,3,9,0.333,10,12,0.833,0,4,4,10,0,0,3,1,21,-6.000
Jason Terry,G,31:39,3,10,0.300,2,7,0.286,0,0,0.000,1,3,4,2,4,0,0,2,8,-7.000
Corey Brewer,,26:45,7,17,0.412,2,6,0.333,4,5,0.800,0,6,6,2,1,1,0,1,20,5.000
Josh Smith,,28:24,2,9,0.222,1,4,0.250,4,8,0.500,2,7,9,4,0,2,1,5,9,10.000
Pablo Prigioni,,16:20,1,4,0.250,1,4,0.250,0,0,0.000,2,0,2,3,2,0,1,2,3,12.000
