02-28,UTA-DEN,104-82,Team,
28-17,22-17,30-19,24-29,
UTA
Gordon Hayward,F,26:12,5,12,0.417,1,5,0.200,4,5,0.800,0,5,5,5,2,0,7,2,15,20.000
Derrick Favors,F,28:15,7,10,0.700,0,0,0.000,7,8,0.875,3,7,10,1,1,3,3,4,21,22.000
Rudy Gobert,C,31:44,4,4,1.000,0,0,0.000,2,2,1.000,3,5,8,1,0,6,3,1,10,12.000
Joe Ingles,G,21:29,3,5,0.600,1,3,0.333,0,0,0.000,0,4,4,5,1,0,0,1,7,12.000
Dante Exum,G,18:59,1,4,0.250,0,3,0.000,0,0,0.000,0,2,2,1,1,0,2,1,2,12.000
Trey Burke,,23:16,8,12,0.667,3,4,0.750,0,0,0.000,0,2,2,4,4,1,1,3,19,19.000
Elijah Millsap,,24:57,2,5,0.400,0,2,0.000,3,4,0.750,0,3,3,3,2,1,2,3,7,6.000
Rodney Hood,,19:55,5,8,0.625,3,3,1.000,1,2,0.500,1,1,2,1,1,2,0,2,14,3.000
Trevor Booker,,19:53,1,3,0.333,0,0,0.000,0,0,0.000,0,4,4,1,0,1,1,1,2,20.000
Jeremy Evans,,13:25,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,1,0,3,0,-8.000
Bryce Cotton,,6:52,1,3,0.333,1,1,1.000,0,0,0.000,0,2,2,1,1,0,1,1,3,-5.000
Grant Jerrett,,2:43,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Jack Cooley,,2:20,2,2,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,4,-1.000
DEN
Danilo Gallinari,F,25:30,5,15,0.333,2,8,0.250,1,2,0.500,1,1,2,1,2,0,1,1,13,-28.000
Joffrey Lauvergne,F,25:59,3,8,0.375,1,3,0.333,2,6,0.333,2,4,6,0,0,1,3,1,9,-36.000
JJ Hickson,C,15:04,1,4,0.250,0,0,0.000,1,4,0.250,4,1,5,0,0,0,1,2,3,-22.000
Gary Harris,G,16:21,1,4,0.250,0,3,0.000,0,0,0.000,0,1,1,0,1,0,1,0,2,-29.000
Ty Lawson,G,31:49,2,6,0.333,2,2,1.000,2,4,0.500,0,2,2,6,0,0,1,1,8,-12.000
Wilson Chandler,,33:30,2,11,0.182,1,6,0.167,1,1,1.000,4,4,8,3,2,1,3,1,6,-1.000
Randy Foye,,16:35,2,8,0.250,1,5,0.200,0,0,0.000,1,0,1,4,1,0,0,2,5,4.000
Kenneth Faried,,28:19,4,9,0.444,0,0,0.000,4,4,1.000,3,5,8,2,3,1,2,2,12,15.000
Will Barton,,30:42,8,15,0.533,1,3,0.333,5,6,0.833,1,1,2,2,0,0,2,2,22,9.000
Jameer Nelson,,7:06,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,2,0,0,0,0,0,-3.000
Erick Green,,9:05,0,2,0.000,0,1,0.000,2,2,1.000,0,1,1,2,0,0,1,1,2,-7.000
