03-01,DET-WAS,95-99,Team,
27-37,17-23,26-20,25-19,
DET
Tayshaun Prince,F,24:04,4,4,1.000,0,0,0.000,0,1,0.000,0,2,2,0,2,0,1,0,8,-10.000
Greg Monroe,F,33:10,8,15,0.533,0,0,0.000,5,6,0.833,3,7,10,0,1,1,6,2,21,0.000
Andre Drummond,C,31:06,5,8,0.625,0,0,0.000,3,10,0.300,3,6,9,0,0,1,1,4,13,-17.000
Reggie Jackson,G,23:04,4,12,0.333,1,4,0.250,0,0,0.000,1,2,3,7,3,0,2,3,9,-9.000
Jodie Meeks,,24:34,3,7,0.429,2,3,0.667,0,1,0.000,0,3,3,0,0,0,2,1,8,6.000
Anthony Tolliver,,26:31,3,8,0.375,3,8,0.375,0,0,0.000,0,3,3,1,0,0,0,0,9,14.000
Spencer Dinwiddie,,24:56,8,14,0.571,1,4,0.250,3,3,1.000,1,3,4,8,1,0,3,4,20,5.000
Caron Butler,,23:56,1,2,0.500,0,1,0.000,0,0,0.000,1,4,5,1,0,0,0,4,2,6.000
Shawne Williams,,5:13,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,1,0,0,0,2,0,-5.000
WAS
Paul Pierce,F,33:55,5,12,0.417,4,8,0.500,0,2,0.000,0,5,5,5,1,0,2,5,14,6.000
Nene,F,29:42,8,14,0.571,0,0,0.000,5,6,0.833,3,4,7,1,2,0,0,3,21,5.000
Marcin Gortat,C,38:35,7,12,0.583,0,0,0.000,2,2,1.000,4,13,17,2,3,1,0,2,16,15.000
Bradley Beal,G,32:32,2,10,0.200,1,4,0.250,3,4,0.750,2,4,6,5,3,0,2,2,8,1.000
John Wall,G,37:43,8,14,0.571,0,3,0.000,6,7,0.857,1,0,1,6,2,0,5,1,22,15.000
Garrett Temple,,15:35,1,2,0.500,1,2,0.500,0,2,0.000,0,2,2,0,1,0,0,0,3,3.000
Otto Porter,,14:05,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,1,1,0,1,1,2,-2.000
Drew Gooden,,20:08,4,8,0.500,1,2,0.500,0,0,0.000,1,1,2,0,1,1,0,1,9,-5.000
Ramon Sessions,,10:17,1,3,0.333,0,1,0.000,2,2,1.000,0,1,1,1,0,0,1,0,4,-11.000
Kevin Seraphin,,7:28,0,1,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,1,1,0,-7.000
