03-08,MEM-NOP,89-95,Team,
25-18,25-20,17-33,22-24,
MEM
Jeff Green,F,35:32,8,18,0.444,0,3,0.000,4,6,0.667,2,2,4,3,1,1,4,3,20,-1.000
Zach Randolph,F,29:15,3,10,0.300,0,1,0.000,1,4,0.250,0,2,2,3,3,0,3,2,7,-11.000
Marc Gasol,C,34:38,2,7,0.286,0,0,0.000,4,6,0.667,0,7,7,6,3,5,2,3,8,-14.000
Courtney Lee,G,24:30,2,9,0.222,1,3,0.333,0,0,0.000,0,1,1,0,1,0,0,3,5,-12.000
Mike Conley,G,30:50,5,9,0.556,3,6,0.500,4,4,1.000,1,3,4,3,1,0,1,2,17,-14.000
Tony Allen,,31:60,3,5,0.600,0,0,0.000,1,2,0.500,3,5,8,1,6,1,3,1,7,1.000
Beno Udrih,,14:60,4,6,0.667,0,0,0.000,3,3,1.000,0,4,4,3,0,0,0,1,11,1.000
Nick Calathes,,19:40,3,3,1.000,1,1,1.000,2,4,0.500,0,3,3,7,0,0,1,2,9,5.000
Kosta Koufos,,13:22,1,4,0.250,0,0,0.000,0,0,0.000,2,3,5,0,0,0,0,1,2,8.000
Vince Carter,,5:14,1,3,0.333,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,1,3,7.000
NOP
Quincy Pondexter,F,33:53,1,4,0.250,1,4,0.250,0,0,0.000,1,4,5,7,1,1,2,4,3,3.000
Anthony Davis,F,40:27,11,21,0.524,0,0,0.000,1,1,1.000,1,9,10,1,0,5,2,4,23,8.000
Omer Asik,C,30:02,3,6,0.500,0,0,0.000,1,2,0.500,2,9,11,0,2,3,3,3,7,12.000
Eric Gordon,G,35:06,4,6,0.667,3,5,0.600,5,5,1.000,0,1,1,6,1,0,4,0,16,16.000
Tyreke Evans,G,36:24,10,16,0.625,3,8,0.375,3,4,0.750,1,2,3,7,3,1,3,3,26,12.000
Norris Cole,,28:33,5,13,0.385,1,4,0.250,1,1,1.000,0,2,2,3,1,0,2,1,12,0.000
Alexis Ajinca,,17:57,3,7,0.429,0,0,0.000,0,0,0.000,1,4,5,0,0,1,1,2,6,-8.000
Elliot Williams,,4:20,0,2,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,1,0,-3.000
Dante Cunningham,,9:24,1,5,0.200,0,2,0.000,0,0,0.000,1,1,2,0,0,1,0,0,2,-2.000
Luke Babbitt,,3:55,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,1,0,0,-8.000
