03-10,MIN-LAC,76-89,Team,
25-25,14-23,23-26,14-15,
MIN
Andrew Wiggins,F,32:04,5,14,0.357,0,2,0.000,1,2,0.500,1,4,5,0,0,0,3,3,11,-8.000
Adreian Payne,F,36:33,7,12,0.583,0,0,0.000,2,3,0.667,5,10,15,2,2,1,3,4,16,-9.000
Nikola Pekovic,C,23:31,5,12,0.417,0,0,0.000,2,4,0.500,4,6,10,0,1,0,2,4,12,-16.000
Kevin Martin,G,29:05,2,8,0.250,1,1,1.000,5,6,0.833,0,0,0,2,1,0,0,1,10,-17.000
Ricky Rubio,G,34:04,1,8,0.125,0,1,0.000,0,1,0.000,0,2,2,12,3,0,3,1,2,-19.000
Gorgui Dieng,,26:55,3,8,0.375,0,0,0.000,0,0,0.000,1,9,10,1,0,1,0,2,6,-6.000
Gary Neal,,20:50,4,10,0.400,0,0,0.000,1,1,1.000,0,4,4,3,1,0,0,0,9,-13.000
Zach LaVine,,13:56,1,5,0.200,1,2,0.500,0,0,0.000,0,1,1,3,1,0,4,2,3,6.000
Chase Budinger,,10:58,0,2,0.000,0,1,0.000,1,2,0.500,0,1,1,1,1,0,0,0,1,6.000
Justin Hamilton,,9:01,2,3,0.667,0,1,0.000,0,0,0.000,1,0,1,0,1,0,0,2,4,5.000
Lorenzo Brown,,3:03,1,1,1.000,0,0,0.000,0,2,0.000,0,1,1,1,1,0,0,0,2,6.000
LAC
Matt Barnes,F,30:43,5,12,0.417,3,8,0.375,0,0,0.000,0,2,2,1,3,0,2,4,13,9.000
Spencer Hawes,F,22:47,2,6,0.333,1,3,0.333,0,2,0.000,0,1,1,3,1,0,0,4,5,25.000
DeAndre Jordan,C,38:55,10,11,0.909,0,0,0.000,0,3,0.000,5,12,17,3,1,2,4,2,20,22.000
JJ Redick,G,39:01,10,19,0.526,3,7,0.429,3,3,1.000,0,5,5,0,0,0,1,0,26,24.000
Chris Paul,G,29:43,1,6,0.167,0,1,0.000,0,0,0.000,0,4,4,15,1,0,4,3,2,16.000
Glen Davis,,20:02,0,2,0.000,0,0,0.000,3,4,0.750,0,4,4,1,1,0,1,4,3,-8.000
Austin Rivers,,21:39,5,8,0.625,2,4,0.500,1,1,1.000,2,2,4,6,2,0,0,2,13,4.000
Nate Robinson,,16:50,1,9,0.111,1,4,0.250,1,2,0.500,2,3,5,1,0,0,1,1,4,-3.000
Hedo Turkoglu,,11:36,1,5,0.200,1,4,0.250,0,0,0.000,0,0,0,0,2,0,0,1,3,-1.000
Jordan Hamilton,,3:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-6.000
CJ Wilcox,,2:02,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-6.000
Ekpe Udoh,,2:02,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,1,0,-6.000
Dahntay Jones,,1:37,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-5.000
