03-10,WAS-CHA,95-69,Team,
36-21,20-25,21-14,18-9,
WAS
Paul Pierce,F,18:04,4,7,0.571,1,3,0.333,0,0,0.000,0,5,5,1,0,0,0,0,9,19.000
Nene,F,19:22,4,5,0.800,0,0,0.000,1,1,1.000,0,1,1,0,2,0,3,4,9,19.000
Marcin Gortat,C,28:06,9,11,0.818,0,0,0.000,2,2,1.000,2,5,7,0,2,0,0,1,20,18.000
Bradley Beal,G,31:27,7,16,0.438,0,2,0.000,0,0,0.000,1,4,5,3,1,0,2,1,14,19.000
John Wall,G,29:16,7,11,0.636,1,2,0.500,0,0,0.000,0,5,5,9,3,1,3,1,15,20.000
Drew Gooden,,23:39,1,5,0.200,0,2,0.000,0,0,0.000,0,6,6,3,0,1,0,3,2,9.000
Otto Porter,,23:11,4,10,0.400,0,2,0.000,0,0,0.000,3,3,6,1,1,1,2,0,8,8.000
Garrett Temple,,19:03,0,3,0.000,0,3,0.000,2,2,1.000,0,1,1,1,0,0,1,3,2,2.000
Kevin Seraphin,,19:54,6,9,0.667,0,0,0.000,0,0,0.000,2,5,7,0,1,0,0,4,12,8.000
Ramon Sessions,,18:45,2,5,0.400,0,0,0.000,0,0,0.000,0,3,3,3,0,0,2,1,4,6.000
DeJuan Blair,,4:40,0,2,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,1,0,-2.000
Rasual Butler,,4:34,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,1,0,0,0,4.000
CHA
Cody Zeller,F,6:52,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,2,0,2,0,-11.000
Al Jefferson,C,28:40,7,14,0.500,0,0,0.000,0,0,0.000,2,3,5,1,1,1,2,2,14,-14.000
Gerald Henderson,G,25:12,2,5,0.400,0,0,0.000,0,0,0.000,0,3,3,0,0,0,2,1,4,-12.000
Mo Williams,G,32:39,6,18,0.333,1,10,0.100,6,7,0.857,0,0,0,7,1,0,3,1,19,-13.000
Marvin Williams,,20:25,2,4,0.500,2,3,0.667,0,0,0.000,0,5,5,0,0,0,0,0,6,-3.000
Brian Roberts,,23:40,0,10,0.000,0,5,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,-18.000
Bismack Biyombo,,19:20,1,3,0.333,0,0,0.000,1,3,0.333,2,7,9,0,1,1,3,1,3,-12.000
Lance Stephenson,,23:35,4,9,0.444,1,2,0.500,3,4,0.750,0,2,2,3,1,0,3,2,12,-8.000
Jason Maxiell,,14:49,1,3,0.333,0,0,0.000,2,2,1.000,1,2,3,0,0,2,0,0,4,-4.000
Troy Daniels,,5:44,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-6.000
Noah Vonleh,,4:36,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,1,0,0,0,-6.000
Jeff Taylor,,4:36,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-6.000
