03-12,DET-GSW,98-105,Team,
25-30,26-26,25-23,22-26,
DET
Caron Butler,F,20:23,1,3,0.333,0,0,0.000,2,2,1.000,0,1,1,1,0,0,0,0,4,-1.000
Greg Monroe,F,31:44,7,18,0.389,0,0,0.000,6,6,1.000,0,8,8,1,1,2,3,3,20,3.000
Andre Drummond,C,33:32,11,23,0.478,0,0,0.000,0,2,0.000,15,10,25,0,2,2,3,3,22,-8.000
Reggie Jackson,G,30:57,7,15,0.467,0,1,0.000,0,0,0.000,1,1,2,9,0,0,4,4,14,-1.000
Tayshaun Prince,,24:12,3,7,0.429,0,0,0.000,2,2,1.000,2,2,4,1,0,0,0,0,8,-15.000
Cartier Martin,,15:39,0,2,0.000,0,1,0.000,0,0,0.000,0,2,2,2,0,0,0,1,0,-3.000
Jodie Meeks,,24:21,3,4,0.750,1,1,1.000,0,0,0.000,0,3,3,0,0,1,0,2,7,-5.000
Spencer Dinwiddie,,17:03,3,9,0.333,2,4,0.500,0,0,0.000,0,2,2,1,0,0,3,2,8,-6.000
Anthony Tolliver,,6:32,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,0,2,6.000
GSW
Harrison Barnes,F,22:43,2,3,0.667,1,2,0.500,0,0,0.000,1,4,5,1,0,0,2,0,5,5.000
Draymond Green,F,31:28,4,11,0.364,0,3,0.000,5,7,0.714,1,6,7,3,0,0,3,3,13,-1.000
Andrew Bogut,C,30:21,6,8,0.750,0,0,0.000,0,0,0.000,2,4,6,3,0,2,1,1,12,1.000
Klay Thompson,G,34:52,11,19,0.579,3,6,0.500,2,2,1.000,0,2,2,3,1,1,2,1,27,11.000
Stephen Curry,G,33:57,4,15,0.267,1,7,0.143,0,0,0.000,1,4,5,11,1,0,3,1,9,8.000
Andre Iguodala,,28:05,6,7,0.857,1,1,1.000,0,1,0.000,3,4,7,2,2,1,2,1,13,6.000
Marreese Speights,,17:39,6,9,0.667,0,0,0.000,0,0,0.000,0,5,5,0,0,2,2,3,12,6.000
Leandro Barbosa,,19:12,3,5,0.600,1,1,1.000,3,3,1.000,0,1,1,1,1,0,1,0,10,0.000
Shaun Livingston,,21:43,2,7,0.286,0,0,0.000,0,0,0.000,2,2,4,5,0,0,1,1,4,-1.000
