03-16,POR-TOR,113-97,Team,
33-31,31-22,27-26,22-18,
POR
Nicolas Batum,F,33:53,3,5,0.600,2,2,1.000,2,2,1.000,2,2,4,12,3,0,1,2,10,17.000
LaMarcus Aldridge,F,34:31,9,14,0.643,0,1,0.000,6,8,0.750,0,10,10,5,0,0,0,0,24,12.000
Robin Lopez,C,29:04,5,8,0.625,0,0,0.000,1,4,0.250,2,4,6,1,0,3,1,1,11,22.000
Arron Afflalo,G,31:15,5,14,0.357,4,6,0.667,0,0,0.000,0,1,1,0,0,0,1,2,14,20.000
Damian Lillard,G,35:15,10,20,0.500,2,8,0.250,1,2,0.500,0,4,4,5,2,0,3,2,23,7.000
Chris Kaman,,17:16,3,4,0.750,0,0,0.000,0,0,0.000,2,1,3,2,0,2,0,2,6,-6.000
CJ McCollum,,15:51,4,7,0.571,1,2,0.500,0,0,0.000,0,1,1,1,0,0,0,3,9,2.000
Steve Blake,,20:39,3,6,0.500,3,6,0.500,0,0,0.000,1,3,4,1,0,0,2,1,9,2.000
Meyers Leonard,,7:49,0,3,0.000,0,2,0.000,0,0,0.000,0,3,3,0,0,0,1,0,0,1.000
Dorell Wright,,11:07,3,3,1.000,1,1,1.000,0,0,0.000,0,1,1,0,1,0,1,1,7,3.000
Allen Crabbe,,1:40,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,0.000
Alonzo Gee,,1:40,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
TOR
Terrence Ross,F,25:13,1,6,0.167,1,3,0.333,0,0,0.000,0,1,1,1,0,0,1,3,3,-11.000
Amir Johnson,F,31:32,5,10,0.500,0,0,0.000,0,0,0.000,3,4,7,1,0,0,1,3,10,-22.000
Jonas Valanciunas,C,22:08,7,7,1.000,0,0,0.000,0,0,0.000,3,6,9,1,0,1,1,2,14,-16.000
DeMar DeRozan,G,34:53,9,18,0.500,0,1,0.000,4,5,0.800,1,7,8,2,1,0,2,1,22,-15.000
Kyle Lowry,G,34:35,3,11,0.273,1,5,0.200,3,3,1.000,0,4,4,6,1,0,4,4,10,-11.000
Greivis Vasquez,,17:48,4,9,0.444,2,5,0.400,0,0,0.000,0,0,0,3,1,1,1,2,10,-2.000
Patrick Patterson,,23:35,3,5,0.600,1,2,0.500,0,0,0.000,1,4,5,2,0,0,0,3,7,3.000
Lou Williams,,20:20,2,8,0.250,0,2,0.000,7,8,0.875,0,0,0,3,1,0,0,0,11,-7.000
Tyler Hansbrough,,13:20,2,2,1.000,0,0,0.000,4,5,0.800,0,3,3,0,1,0,2,1,8,7.000
James Johnson,,13:20,1,1,1.000,0,0,0.000,0,0,0.000,1,2,3,1,0,1,3,3,2,-6.000
Landry Fields,,1:40,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Greg Stiemsma,,1:36,0,0,0.000,0,0,0.000,0,2,0.000,0,2,2,0,0,0,0,0,0,0.000
