03-31,BOS-CHA,116-104,Team,
26-24,30-20,29-25,31-35,
BOS
Evan Turner,F,29:41,7,11,0.636,0,1,0.000,1,1,1.000,0,6,6,5,1,0,0,1,15,7.000
Brandon Bass,F,23:10,2,4,0.500,0,1,0.000,3,4,0.750,2,3,5,3,0,0,0,2,7,11.000
Tyler Zeller,C,25:38,4,9,0.444,0,0,0.000,0,0,0.000,1,5,6,2,0,0,0,2,8,9.000
Avery Bradley,G,38:57,12,23,0.522,3,7,0.429,3,3,1.000,2,6,8,2,0,0,1,3,30,13.000
Marcus Smart,G,31:22,5,9,0.556,1,2,0.500,3,4,0.750,3,3,6,4,3,1,3,4,14,15.000
Isaiah Thomas,,21:31,3,9,0.333,2,6,0.333,2,2,1.000,0,0,0,7,0,0,1,4,10,-8.000
Jae Crowder,,20:40,4,9,0.444,2,4,0.500,4,4,1.000,1,0,1,2,0,0,1,0,14,-5.000
Gerald Wallace,,14:57,2,3,0.667,0,0,0.000,0,4,0.000,2,3,5,1,2,0,0,0,4,10.000
Kelly Olynyk,,18:09,5,10,0.500,1,4,0.250,0,0,0.000,1,2,3,1,1,0,1,4,11,3.000
Jonas Jerebko,,15:55,1,2,0.500,0,1,0.000,1,1,1.000,1,1,2,1,0,0,0,1,3,5.000
CHA
Jeff Taylor,F,25:54,2,6,0.333,1,2,0.500,0,0,0.000,1,4,5,0,0,0,1,3,5,-8.000
Marvin Williams,F,30:23,4,6,0.667,1,3,0.333,1,1,1.000,1,3,4,1,1,3,0,3,10,-6.000
Al Jefferson,C,25:07,6,10,0.600,0,0,0.000,0,0,0.000,1,4,5,4,0,1,2,0,12,-15.000
Gerald Henderson,G,32:40,7,15,0.467,1,3,0.333,2,2,1.000,0,3,3,0,0,0,2,6,17,-21.000
Kemba Walker,G,39:35,9,20,0.450,2,8,0.250,8,9,0.889,1,2,3,12,2,0,0,0,28,-3.000
Jason Maxiell,,17:37,3,5,0.600,0,0,0.000,0,0,0.000,3,5,8,3,0,0,0,0,6,-6.000
PJ Hairston,,18:05,1,4,0.250,0,2,0.000,0,0,0.000,0,3,3,0,0,0,0,1,2,-4.000
Mo Williams,,25:15,6,17,0.353,2,8,0.250,5,5,1.000,2,1,3,0,0,0,4,1,19,-1.000
Bismack Biyombo,,22:53,2,2,1.000,0,0,0.000,1,2,0.500,1,5,6,0,0,2,0,3,5,3.000
Brian Roberts,,2:31,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,1.000
