03-31,MIL-ATL,88-101,Team,
20-25,19-21,25-26,24-29,
MIL
Giannis Antetokounmpo,F,38:03,7,9,0.778,0,0,0.000,4,4,1.000,2,4,6,4,0,0,1,3,18,-15.000
Ersan Ilyasova,F,28:33,4,13,0.308,2,4,0.500,2,4,0.500,1,4,5,0,0,1,1,2,12,-17.000
Zaza Pachulia,C,35:41,8,10,0.800,0,0,0.000,1,3,0.333,5,8,13,3,1,0,0,2,17,-5.000
Khris Middleton,G,36:23,6,14,0.429,0,5,0.000,0,0,0.000,0,4,4,4,2,0,1,3,12,1.000
Jerryd Bayless,,30:42,4,8,0.500,2,4,0.500,4,5,0.800,0,1,1,5,0,0,2,3,14,-5.000
O.J. Mayo,,13:23,0,5,0.000,0,3,0.000,2,2,1.000,1,3,4,2,0,0,0,3,2,-6.000
John Henson,,17:42,1,6,0.167,0,0,0.000,0,2,0.000,3,1,4,1,0,1,1,2,2,-4.000
Miles Plumlee,,3:26,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-4.000
Tyler Ennis,,2:40,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,1,0,-2.000
ATL
DeMarre Carroll,F,34:20,9,13,0.692,2,6,0.333,3,5,0.600,3,5,8,5,0,2,1,1,23,17.000
Paul Millsap,F,34:40,6,10,0.600,0,2,0.000,3,4,0.750,2,7,9,2,2,0,1,4,15,5.000
Al Horford,C,33:36,8,18,0.444,0,2,0.000,2,2,1.000,2,5,7,2,0,2,0,2,18,16.000
Kyle Korver,G,33:37,4,10,0.400,3,9,0.333,0,0,0.000,0,1,1,5,0,0,1,4,11,5.000
Jeff Teague,G,29:09,2,8,0.250,2,2,1.000,2,2,1.000,1,3,4,9,0,0,5,4,8,8.000
Pero Antic,,15:20,2,4,0.500,0,1,0.000,4,5,0.800,1,1,2,1,1,0,1,1,8,7.000
Kent Bazemore,,15:10,0,1,0.000,0,1,0.000,0,0,0.000,0,2,2,0,0,0,2,0,0,7.000
Dennis Schroder,,5:46,0,2,0.000,0,1,0.000,4,4,1.000,0,1,1,1,0,0,0,0,4,12.000
Thabo Sefolosha,,12:53,4,6,0.667,1,1,1.000,2,2,1.000,2,2,4,0,1,0,0,2,11,-3.000
Mike Muscala,,12:24,1,4,0.250,1,2,0.500,0,0,0.000,1,2,3,0,0,0,0,2,3,-2.000
Shelvin Mack,,13:05,0,3,0.000,0,2,0.000,0,0,0.000,0,1,1,4,1,0,0,0,0,-7.000
