04-11,DAL-DEN,144-143,Team,
35-27,38-25,20-37,28-32,13-13,10-9,
DAL
Richard Jefferson,F,26:24,7,14,0.500,3,7,0.429,4,4,1.000,0,3,3,1,0,0,2,3,21,3.000
Dirk Nowitzki,F,32:34,9,15,0.600,0,3,0.000,5,5,1.000,0,9,9,2,1,3,2,2,23,16.000
Tyson Chandler,C,25:55,2,3,0.667,0,0,0.000,2,2,1.000,2,8,10,1,0,1,3,3,6,8.000
Monta Ellis,G,32:13,6,13,0.462,0,0,0.000,1,2,0.500,0,0,0,5,0,0,5,2,13,10.000
Raymond Felton,G,24:55,3,8,0.375,0,1,0.000,0,1,0.000,0,4,4,5,1,0,1,1,6,5.000
Devin Harris,,24:21,6,8,0.750,3,3,1.000,4,6,0.667,0,1,1,6,2,0,2,0,19,-2.000
Charlie Villanueva,,13:13,1,5,0.200,1,4,0.250,0,0,0.000,0,1,1,1,0,0,0,1,3,-8.000
Jose Juan Barea,,14:48,2,5,0.400,1,3,0.333,0,0,0.000,0,2,2,8,0,0,0,2,5,-13.000
Bernard James,,0:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
DEN
Wilson Chandler,F,38:42,7,16,0.438,1,6,0.167,0,0,0.000,6,5,11,2,1,0,1,3,15,-5.000
Danilo Gallinari,F,35:46,10,17,0.588,4,8,0.500,6,6,1.000,1,5,6,2,1,0,0,4,30,21.000
Kenneth Faried,C,22:06,6,10,0.600,0,0,0.000,2,3,0.667,1,4,5,1,1,0,2,5,14,2.000
Randy Foye,G,37:06,6,15,0.400,5,10,0.500,0,0,0.000,0,3,3,1,4,0,3,2,17,3.000
Ty Lawson,G,42:13,8,19,0.421,1,3,0.333,2,2,1.000,0,3,3,16,0,0,2,0,19,6.000
JJ Hickson,,20:19,5,10,0.500,0,0,0.000,4,6,0.667,7,5,12,0,0,0,2,2,14,10.000
Will Barton,,10:20,1,4,0.250,0,2,0.000,0,0,0.000,1,1,2,1,1,0,0,2,2,-12.000
Gary Harris,,9:53,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,2,0,-9.000
Jusuf Nurkic,,14:28,2,8,0.250,0,0,0.000,4,4,1.000,5,2,7,1,1,0,2,5,8,-10.000
Erick Green,,8:50,1,5,0.200,0,3,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-6.000
Joffrey Lauvergne,,0:17,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
