04-21,MIL-CHI,82-91,Playoff,
16-11,22-28,30-32,14-20,
MIL
Giannis Antetokounmpo,F,37:52,2,11,0.182,0,0,0.000,2,2,1.000,2,9,11,4,2,2,2,4,6,-1.000
Ersan Ilyasova,F,23:44,3,10,0.300,0,3,0.000,2,2,1.000,1,5,6,0,0,1,0,1,8,-6.000
Zaza Pachulia,C,22:32,3,8,0.375,0,0,0.000,1,2,0.500,1,5,6,3,1,2,0,2,7,-2.000
Khris Middleton,G,38:19,8,20,0.400,3,7,0.429,3,3,1.000,1,5,6,0,1,1,1,2,22,-13.000
John Henson,,25:28,4,9,0.444,0,1,0.000,0,1,0.000,3,3,6,0,1,2,0,4,8,-7.000
Jared Dudley,,17:02,1,4,0.250,1,2,0.500,0,0,0.000,1,2,3,0,4,0,0,1,3,2.000
Jerryd Bayless,,15:09,3,6,0.500,0,0,0.000,2,2,1.000,0,2,2,1,0,0,0,2,8,-3.000
O.J. Mayo,,27:03,3,10,0.300,0,3,0.000,2,2,1.000,0,3,3,3,0,0,0,2,8,-9.000
CHI
Mike Dunleavy,F,33:24,4,12,0.333,4,9,0.444,0,0,0.000,1,5,6,3,0,0,0,1,12,4.000
Pau Gasol,F,33:35,4,12,0.333,0,1,0.000,3,6,0.500,2,14,16,3,0,4,3,1,11,4.000
Joakim Noah,C,32:19,3,9,0.333,0,0,0.000,0,0,0.000,4,15,19,5,0,1,3,3,6,0.000
Jimmy Butler,G,46:00,10,19,0.526,3,9,0.333,8,14,0.571,2,7,9,2,0,1,0,2,31,12.000
Derrick Rose,G,38:05,4,14,0.286,2,6,0.333,5,5,1.000,3,4,7,9,1,1,3,3,15,8.000
Taj Gibson,,11:00,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,3,3,4,0,-4.000
Tony Snell,,13:21,1,3,0.333,1,3,0.333,0,0,0.000,0,2,2,1,0,0,1,2,3,9.000
Nikola Mirotic,,22:21,3,9,0.333,1,3,0.333,1,2,0.500,1,3,4,1,1,0,0,2,8,11.000
Aaron Brooks,,9:55,2,3,0.667,1,2,0.500,0,0,0.000,0,0,0,2,0,0,0,1,5,1.000
