10-09,CHA-PHI,92-106,Preseason,
24-21,23-38,21-25,24-22,
CHA
Al Jefferson,,24,4,11,0.364,0,0,0.000,1,2,0.500,2,6,8,2,0,1,2,4,9,0
Bismack Biyombo,,21,1,4,0.250,0,0,0.000,2,4,0.500,2,4,6,0,0,0,1,3,4,0
Brian Roberts,,22,3,10,0.300,1,4,0.250,0,0,0.000,1,1,2,2,1,0,1,2,7,0
Cody Zeller,,23,2,6,0.333,0,0,0.000,3,3,1.000,0,4,4,2,1,0,1,4,7,0
Gary Neal,,21,5,8,0.625,1,1,1.000,3,3,1.000,1,2,3,1,0,0,1,1,14,0
Jason Maxiell,,7,1,2,0.500,0,0,0.000,1,2,0.500,0,0,0,0,0,1,1,2,3,0
Kemba Walker,,26,5,12,0.417,0,3,0.000,3,4,0.750,0,3,3,3,0,1,0,2,13,0
Lance Stephenson,,27,4,10,0.400,2,3,0.667,3,6,0.500,1,4,5,2,1,0,2,2,13,0
Marvin Williams,,21,2,9,0.222,1,6,0.167,0,2,0.000,2,6,8,0,1,0,1,3,5,0
PJ Hairston,,21,2,7,0.286,2,5,0.400,0,0,0.000,0,4,4,2,0,0,3,4,6,0
PHI
Alexey Shved,,23,4,7,0.571,0,3,0.000,3,5,0.600,0,4,4,3,1,0,0,3,11,0
Arnett Moultrie,,21,3,10,0.300,0,0,0.000,1,2,0.500,3,2,5,2,1,0,0,2,7,0
Brandon Davies,,18,3,8,0.375,1,1,1.000,6,6,1.000,2,5,7,2,0,0,0,5,13,0
Casper Ware,,23,2,5,0.400,1,2,0.500,9,10,0.900,0,3,3,3,1,0,3,2,14,0
Elliot Williams,,29,4,8,0.500,3,5,0.600,1,2,0.500,2,1,3,1,0,0,3,0,12,0
Henry Sims,,25,4,10,0.400,0,0,0.000,1,4,0.250,1,4,5,1,1,0,0,2,9,0
Hollis Thompson,,4,1,2,0.500,0,0,0.000,0,1,0.000,0,1,1,0,0,0,0,1,2,0
JaKarr Sampson,,6,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,1,1,0,0
KJ McDaniels,,25,4,13,0.308,0,4,0.000,0,0,0.000,3,3,6,2,2,1,1,3,8,0
Luc Mbah a Moute,,12,2,4,0.500,1,2,0.500,0,0,0.000,0,2,2,4,1,0,0,0,5,0
Nerlens Noel,,31,5,13,0.385,0,0,0.000,0,4,0.000,3,6,9,3,0,3,0,0,10,0
Ronald Roberts,,1,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,0
Tony Wroten,,22,6,10,0.600,1,3,0.333,2,3,0.667,0,6,6,7,1,0,3,4,15,0
