10-18,UTA-LAC,97-101,Preseason,
22-21,25-25,27-29,23-26,
UTA
Dahntay Jones,,9,0,3,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,0
Dante Exum,,17,3,5,0.600,2,3,0.667,1,1,1.000,0,1,1,2,2,0,0,2,9,0
Derrick Favors,,32,9,17,0.529,0,0,0.000,1,2,0.500,2,8,10,1,1,2,5,3,19,0
Enes Kanter,,22,2,9,0.222,0,2,0.000,3,4,0.750,0,3,3,0,1,0,3,3,7,0
Gordon Hayward,,37,4,7,0.571,2,4,0.500,12,12,1.000,0,6,6,4,6,0,5,0,22,0
Ian Clark,,34,3,6,0.500,0,2,0.000,2,2,1.000,0,1,1,3,0,0,3,3,8,0
Rodney Hood,,11,1,1,1.000,0,0,0.000,0,0,0.000,0,3,3,1,0,0,0,6,2,0
Rudy Gobert,,25,1,2,0.500,0,0,0.000,3,4,0.750,1,6,7,0,0,2,3,2,5,0
Steve Novak,,0,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0
Trevor Booker,,17,1,5,0.200,0,2,0.000,2,2,1.000,1,2,3,3,1,0,0,3,4,0
Trey Burke,,36,7,15,0.467,2,4,0.500,5,9,0.556,0,5,5,6,1,0,0,0,21,0
LAC
Blake Griffin,,31,7,14,0.500,0,0,0.000,3,9,0.333,1,3,4,3,1,0,4,5,17,0
Chris Paul,,34,4,11,0.364,1,3,0.333,2,2,1.000,0,4,4,9,3,0,3,4,11,0
DeAndre Jordan,,39,4,8,0.500,0,0,0.000,1,2,0.500,1,16,17,4,1,1,3,4,9,0
Ekpe Udoh,,2,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,1,2,0,0
JJ Redick,,29,1,7,0.143,0,3,0.000,3,3,1.000,0,1,1,2,2,0,2,3,5,0
Jamal Crawford,,25,8,13,0.615,5,7,0.714,4,5,0.800,0,1,1,5,1,0,1,0,25,0
Jordan Farmar,,14,0,4,0.000,0,2,0.000,0,0,0.000,2,2,4,3,1,0,2,0,0,0
Matt Barnes,,19,0,4,0.000,0,1,0.000,0,0,0.000,0,0,0,0,1,0,0,2,0,0
Spencer Hawes,,23,9,15,0.600,3,7,0.429,3,6,0.500,3,3,6,1,1,1,2,3,24,0
