11-01,PHI-MIL,81-93,Team,
24-24,23-22,27-27,7-20,
PHI
Nerlens Noel,F,35:07,7,11,0.636,0,0,0.000,0,0,0.000,1,9,10,2,1,3,0,3,14,-4.000
Hollis Thompson,F,35:01,6,19,0.316,2,6,0.333,1,1,1.000,0,3,3,2,1,0,1,4,15,-4.000
Henry Sims,C,25:30,3,8,0.375,0,0,0.000,1,2,0.500,3,5,8,1,0,0,1,2,7,7.000
Tony Wroten,G,34:59,4,11,0.364,0,2,0.000,6,11,0.545,2,1,3,6,3,0,8,4,14,-6.000
Chris Johnson,G,29:18,1,11,0.091,1,6,0.167,1,2,0.500,2,6,8,0,0,1,1,1,4,-1.000
Malcolm Thomas,,14:48,3,5,0.600,0,0,0.000,0,0,0.000,2,3,5,3,1,0,0,1,6,-6.000
KJ McDaniels,,13:39,5,7,0.714,2,3,0.667,0,0,0.000,1,0,1,0,0,0,1,2,12,-10.000
Brandon Davies,,5:09,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,1,0,1,0,0,-6.000
Alexey Shved,,16:18,1,6,0.167,0,2,0.000,1,2,0.500,0,0,0,4,1,0,2,0,3,-11.000
Luc Mbah a Moute,,25:05,2,5,0.400,0,2,0.000,2,4,0.500,1,2,3,2,1,0,0,1,6,-13.000
JaKarr Sampson,,5:06,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,1,1,0,0,-6.000
MIL
Khris Middleton,F,27:55,5,16,0.313,2,5,0.400,0,0,0.000,0,4,4,1,0,0,2,2,12,11.000
Jabari Parker,F,31:20,5,11,0.455,1,3,0.333,0,2,0.000,2,8,10,0,1,0,3,1,11,15.000
Larry Sanders,C,26:44,4,12,0.333,0,0,0.000,0,1,0.000,7,8,15,1,2,4,2,4,8,13.000
Jared Dudley,G,15:40,2,4,0.500,0,2,0.000,0,0,0.000,0,2,2,2,1,0,0,1,4,6.000
Brandon Knight,G,29:11,2,8,0.250,1,4,0.250,8,10,0.800,0,7,7,8,2,0,3,2,13,6.000
O.J. Mayo,,28:05,8,13,0.615,5,7,0.714,4,6,0.667,1,2,3,5,1,0,1,3,25,10.000
Giannis Antetokounmpo,,25:53,4,8,0.500,0,0,0.000,0,0,0.000,1,5,6,2,0,1,4,3,8,-9.000
John Henson,,21:16,3,7,0.429,0,0,0.000,0,2,0.000,4,3,7,1,2,6,0,1,6,-1.000
Kendall Marshall,,4:59,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,4.000
Ersan Ilyasova,,4:51,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,1,0,-2.000
Jerryd Bayless,,13:50,3,7,0.429,0,1,0.000,0,0,0.000,0,0,0,4,1,0,1,1,6,2.000
Nate Wolters,,10:16,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,5.000
