11-11,UTA-IND,86-97,Team,
20-17,21-30,28-25,17-25,
UTA
Gordon Hayward,F,36:07,11,15,0.733,2,3,0.667,6,6,1.000,0,8,8,5,0,1,2,1,30,-3.000
Derrick Favors,F,34:49,5,13,0.385,0,0,0.000,3,6,0.500,1,7,8,1,0,2,0,4,13,-2.000
Enes Kanter,C,25:02,7,8,0.875,1,2,0.500,3,3,1.000,0,3,3,0,0,2,5,2,18,17.000
Alec Burks,G,38:13,4,13,0.308,0,1,0.000,1,1,1.000,1,3,4,1,1,0,1,2,9,-5.000
Trey Burke,G,35:33,2,12,0.167,1,8,0.125,0,0,0.000,0,2,2,8,2,0,0,1,5,-8.000
Dante Exum,,19:12,1,5,0.200,1,4,0.250,0,0,0.000,1,3,4,0,1,0,0,3,3,-2.000
Trevor Booker,,22:13,1,4,0.250,0,0,0.000,0,1,0.000,1,1,2,2,1,0,2,2,2,-24.000
Rudy Gobert,,13:11,0,1,0.000,0,0,0.000,3,4,0.750,1,4,5,0,0,1,1,3,3,-9.000
Joe Ingles,,14:55,1,3,0.333,1,3,0.333,0,0,0.000,0,1,1,1,0,0,0,0,3,-15.000
Jeremy Evans,,0:12,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
Steve Novak,,0:33,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
IND
Chris Copeland,F,25:54,2,6,0.333,2,3,0.667,0,0,0.000,1,2,3,0,0,0,1,3,6,-4.000
Luis Scola,F,24:41,4,10,0.400,0,0,0.000,0,0,0.000,1,7,8,3,0,1,0,2,8,-2.000
Roy Hibbert,C,33:15,11,21,0.524,0,0,0.000,7,7,1.000,3,2,5,1,1,1,0,2,29,-4.000
Solomon Hill,G,36:43,5,12,0.417,0,1,0.000,3,4,0.750,1,2,3,2,1,0,1,2,13,3.000
Donald Sloan,G,28:56,1,9,0.111,0,3,0.000,0,0,0.000,0,3,3,3,0,0,1,1,2,6.000
Lavoy Allen,,27:17,6,12,0.500,0,0,0.000,0,0,0.000,6,9,15,3,1,1,0,3,12,17.000
Damjan Rudez,,28:30,1,6,0.167,1,4,0.250,0,0,0.000,0,2,2,2,0,0,0,2,3,15.000
A.J. Price,,24:45,8,12,0.667,3,4,0.750,3,4,0.750,0,1,1,1,0,0,2,1,22,17.000
Ian Mahinmi,,9:59,1,2,0.500,0,0,0.000,0,0,0.000,1,3,4,1,0,0,2,3,2,7.000
