11-13,ORL-NYK,97-95,Team,
31-27,25-23,18-26,23-19,
ORL
Channing Frye,F,38:16,4,11,0.364,1,4,0.250,0,0,0.000,0,6,6,1,0,1,0,1,9,3.000
Tobias Harris,F,33:31,4,11,0.364,1,2,0.500,3,5,0.600,1,4,5,1,0,0,2,3,12,4.000
Nikola Vucevic,C,38:36,8,15,0.533,0,0,0.000,4,4,1.000,2,11,13,2,0,0,3,4,20,2.000
Evan Fournier,G,37:02,8,14,0.571,2,4,0.500,10,14,0.714,1,1,2,2,4,0,2,3,28,2.000
Elfrid Payton,G,23:04,0,2,0.000,0,0,0.000,0,0,0.000,0,3,3,8,0,0,1,1,0,-3.000
Aaron Gordon,,14:10,1,1,1.000,1,1,1.000,4,4,1.000,0,1,1,0,0,0,1,2,7,-5.000
Andrew Nicholson,,19:27,3,9,0.333,0,0,0.000,2,2,1.000,0,2,2,1,0,0,1,2,8,2.000
Luke Ridnour,,24:57,3,5,0.600,0,0,0.000,2,3,0.667,0,4,4,5,0,0,0,2,8,5.000
Willie Green,,10:58,2,2,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,0,1,5,0.000
NYK
Quincy Acy,F,20:12,1,1,1.000,0,0,0.000,0,0,0.000,2,2,4,1,0,0,2,4,2,-8.000
Carmelo Anthony,F,32:09,10,17,0.588,2,4,0.500,5,6,0.833,1,4,5,1,1,1,1,5,27,7.000
Samuel Dalembert,C,27:24,1,3,0.333,0,0,0.000,0,0,0.000,2,5,7,4,0,5,0,0,2,1.000
Shane Larkin,G,16:46,2,5,0.400,1,1,1.000,4,4,1.000,0,1,1,2,0,0,0,2,9,0.000
Iman Shumpert,G,26:15,5,10,0.500,0,2,0.000,0,0,0.000,2,6,8,3,0,0,1,6,10,-5.000
J.R. Smith,,30:08,6,16,0.375,3,8,0.375,4,4,1.000,1,3,4,3,0,0,1,2,19,-1.000
Pablo Prigioni,,21:23,2,3,0.667,2,3,0.667,0,0,0.000,0,2,2,0,1,0,1,0,6,-7.000
Travis Wear,,5:16,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,2,0,-5.000
Jason Smith,,24:10,5,12,0.417,0,0,0.000,0,0,0.000,0,4,4,2,0,0,1,1,10,-1.000
Tim Hardaway Jr.,,17:35,1,8,0.125,0,5,0.000,0,0,0.000,0,1,1,1,0,0,0,2,2,8.000
Cleanthony Early,,0:01,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
