11-20,OKC-DEN,100-107,Team,
26-27,23-27,25-34,26-19,
OKC
Lance Thomas,F,19:33,3,8,0.375,0,0,0.000,0,0,0.000,1,1,2,2,0,0,0,3,6,-11.000
Serge Ibaka,F,36:50,9,15,0.600,2,2,1.000,2,3,0.667,3,10,13,0,0,0,2,4,22,-6.000
Steven Adams,C,17:25,3,3,1.000,0,0,0.000,2,5,0.400,1,0,1,0,0,0,0,2,8,-12.000
Jeremy Lamb,G,20:44,2,5,0.400,2,4,0.500,2,2,1.000,0,2,2,2,0,0,2,0,8,-14.000
Reggie Jackson,G,37:08,5,20,0.250,0,3,0.000,6,6,1.000,5,2,7,9,2,0,1,2,16,-11.000
Andre Roberson,,6:41,1,4,0.250,1,4,0.250,0,0,0.000,0,2,2,1,0,0,0,0,3,3.000
Kendrick Perkins,,24:13,0,3,0.000,0,0,0.000,3,4,0.750,2,5,7,1,1,0,3,3,3,3.000
Anthony Morrow,,28:11,4,9,0.444,0,4,0.000,2,2,1.000,0,1,1,1,1,0,1,3,10,11.000
Sebastian Telfair,,29:36,7,7,1.000,4,4,1.000,0,0,0.000,0,2,2,2,0,0,1,4,18,3.000
Nick Collison,,19:39,2,5,0.400,1,2,0.500,1,3,0.333,1,1,2,3,1,0,0,3,6,-1.000
DEN
Wilson Chandler,F,27:01,8,15,0.533,3,6,0.500,2,4,0.500,2,7,9,1,0,1,1,2,21,15.000
Kenneth Faried,F,30:04,3,7,0.429,0,0,0.000,2,3,0.667,3,7,10,0,1,0,1,0,8,13.000
Timofey Mozgov,C,35:55,6,7,0.857,0,0,0.000,5,5,1.000,1,6,7,2,0,3,2,5,17,9.000
Arron Afflalo,G,33:32,6,15,0.400,1,6,0.167,0,0,0.000,0,1,1,1,0,0,0,2,13,6.000
Ty Lawson,G,35:55,6,13,0.462,0,2,0.000,3,4,0.750,0,1,1,15,1,0,2,1,15,9.000
Danilo Gallinari,,20:59,1,5,0.200,1,5,0.200,1,2,0.500,1,2,3,2,1,0,0,2,4,-8.000
Darrell Arthur,,17:56,3,6,0.500,1,3,0.333,2,2,1.000,2,2,4,2,2,1,0,3,9,-6.000
Randy Foye,,14:28,3,6,0.500,2,5,0.400,0,0,0.000,0,1,1,0,0,0,2,3,8,1.000
JaVale McGee,,12:05,2,5,0.400,0,0,0.000,2,2,1.000,1,3,4,0,0,0,0,2,6,-2.000
Nate Robinson,,12:05,2,3,0.667,2,2,1.000,0,0,0.000,2,0,2,2,1,0,0,0,6,-2.000
