11-27,MEM-LAL,99-93,Team,
21-26,25-25,34-23,19-19,
MEM
Tony Allen,F,14:55,2,8,0.250,0,0,0.000,0,0,0.000,2,1,3,3,1,0,0,4,4,2.000
Zach Randolph,F,27:37,7,10,0.700,0,0,0.000,2,4,0.500,4,5,9,0,0,0,3,0,16,6.000
Marc Gasol,C,36:55,5,10,0.500,0,0,0.000,9,10,0.900,2,9,11,4,2,3,3,4,19,4.000
Courtney Lee,G,30:46,4,10,0.400,1,5,0.200,1,1,1.000,0,4,4,2,2,0,3,1,10,7.000
Mike Conley,G,30:02,6,11,0.545,1,4,0.250,6,6,1.000,1,1,2,7,1,0,3,2,19,11.000
Tayshaun Prince,,8:14,0,3,0.000,0,1,0.000,2,2,1.000,0,1,1,1,0,0,0,0,2,-3.000
Beno Udrih,,17:58,2,6,0.333,0,2,0.000,0,0,0.000,0,0,0,5,0,0,0,0,4,-5.000
Quincy Pondexter,,29:12,2,7,0.286,2,6,0.333,2,2,1.000,0,4,4,1,0,1,1,4,8,6.000
Kosta Koufos,,12:43,3,5,0.600,0,0,0.000,0,0,0.000,0,8,8,1,0,2,0,2,6,2.000
Vince Carter,,13:03,2,5,0.400,1,3,0.333,0,0,0.000,0,1,1,1,1,0,0,1,5,0.000
Jon Leuer,,18:36,3,5,0.600,0,1,0.000,0,0,0.000,1,1,2,0,0,0,1,2,6,0.000
LAL
Wesley Johnson,F,28:51,2,5,0.400,1,2,0.500,0,0,0.000,1,4,5,2,1,1,0,1,5,0.000
Carlos Boozer,F,20:37,2,6,0.333,0,0,0.000,0,2,0.000,1,5,6,1,0,0,1,2,4,-7.000
Jordan Hill,C,32:30,5,12,0.417,0,0,0.000,1,2,0.500,3,4,7,0,1,1,0,2,11,-3.000
Kobe Bryant,G,35:16,5,15,0.333,2,5,0.400,10,10,1.000,2,2,4,2,0,0,4,1,22,-1.000
Jeremy Lin,G,30:00,4,9,0.444,2,4,0.500,4,6,0.667,1,3,4,4,2,1,3,4,14,-4.000
Ed Davis,,22:46,1,3,0.333,0,0,0.000,0,0,0.000,2,6,8,1,1,3,1,1,2,3.000
Nick Young,,27:12,4,14,0.286,2,5,0.400,3,3,1.000,0,1,1,1,0,2,0,2,13,-7.000
Ronnie Price,,18:00,5,8,0.625,0,1,0.000,1,1,1.000,1,1,2,5,1,1,0,2,11,-2.000
Wayne Ellington,,12:44,2,4,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,0,1,0,5,-5.000
Robert Sacre,,12:05,3,5,0.600,0,0,0.000,0,0,0.000,1,3,4,0,0,0,1,3,6,-4.000
