11-30,CHA-ATL,75-105,Team,
17-28,11-36,23-20,24-21,
CHA
Gerald Henderson,F,34:38,6,14,0.429,0,2,0.000,2,2,1.000,1,1,2,4,0,0,5,2,14,-19.000
Cody Zeller,F,24:29,0,6,0.000,0,0,0.000,4,4,1.000,0,3,3,0,1,0,1,1,4,-33.000
Al Jefferson,C,20:51,4,9,0.444,0,1,0.000,3,4,0.750,1,2,3,0,0,0,1,3,11,-27.000
Lance Stephenson,G,23:22,3,9,0.333,0,3,0.000,0,0,0.000,2,1,3,3,0,0,2,4,6,-21.000
Kemba Walker,G,24:51,2,9,0.222,0,2,0.000,0,0,0.000,0,2,2,6,1,1,0,1,4,-36.000
PJ Hairston,,26:58,5,13,0.385,3,7,0.429,2,2,1.000,1,3,4,1,1,1,0,1,15,-3.000
Jason Maxiell,,18:01,1,7,0.143,0,0,0.000,0,0,0.000,0,3,3,0,0,0,0,0,2,0.000
Bismack Biyombo,,20:39,3,4,0.750,0,0,0.000,1,4,0.250,6,5,11,1,0,2,1,1,7,-3.000
Brian Roberts,,17:15,0,6,0.000,0,2,0.000,0,0,0.000,1,0,1,1,0,0,0,1,0,-23.000
Jannero Pargo,,16:56,4,9,0.444,2,5,0.400,0,0,0.000,0,0,0,4,0,0,2,2,10,12.000
Noah Vonleh,,12:00,1,2,0.500,0,1,0.000,0,0,0.000,1,5,6,0,0,0,0,0,2,3.000
ATL
DeMarre Carroll,F,23:53,4,6,0.667,1,1,1.000,1,2,0.500,0,2,2,2,1,0,0,0,10,28.000
Paul Millsap,F,23:53,7,10,0.700,0,1,0.000,4,5,0.800,1,5,6,1,3,0,1,2,18,28.000
Al Horford,C,18:53,5,6,0.833,1,1,1.000,0,0,0.000,0,4,4,2,0,2,0,1,11,31.000
Kyle Korver,G,21:41,4,5,0.800,2,3,0.667,2,2,1.000,0,4,4,2,0,1,0,0,12,21.000
Jeff Teague,G,20:59,2,7,0.286,2,3,0.667,0,0,0.000,0,2,2,10,0,1,4,2,6,24.000
Elton Brand,,27:44,4,7,0.571,0,0,0.000,1,2,0.500,3,6,9,3,0,1,1,2,9,0.000
Shelvin Mack,,23:56,3,8,0.375,2,5,0.400,1,1,1.000,0,2,2,6,0,0,0,1,9,8.000
Dennis Schroder,,17:01,4,8,0.500,2,2,1.000,2,2,1.000,0,1,1,1,0,0,0,1,12,10.000
Kent Bazemore,,21:59,0,3,0.000,0,1,0.000,0,0,0.000,0,8,8,2,2,0,1,2,0,5.000
Mike Scott,,22:08,5,7,0.714,2,3,0.667,2,2,1.000,0,3,3,1,0,0,3,4,14,2.000
Thabo Sefolosha,,5:53,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,-4.000
Mike Muscala,,12:00,2,6,0.333,0,2,0.000,0,0,0.000,1,1,2,0,2,0,2,2,4,-3.000
