12-01,ORL-PHX,93-90,Team,
27-23,25-16,17-19,24-32,
ORL
Tobias Harris,F,34:00,8,18,0.444,1,2,0.500,4,4,1.000,0,8,8,1,2,0,2,1,21,1.000
Channing Frye,F,26:46,1,5,0.200,1,5,0.200,0,0,0.000,0,6,6,1,0,0,0,2,3,0.000
Nikola Vucevic,C,34:19,7,15,0.467,0,0,0.000,4,6,0.667,3,5,8,0,1,1,4,4,18,-1.000
Evan Fournier,G,33:38,5,8,0.625,2,5,0.400,3,4,0.750,1,4,5,2,1,0,3,3,15,0.000
Victor Oladipo,G,36:44,6,11,0.545,0,1,0.000,0,0,0.000,0,3,3,4,1,0,4,3,12,-6.000
Elfrid Payton,,27:14,1,3,0.333,0,0,0.000,5,8,0.625,2,7,9,4,2,0,5,5,7,10.000
Ben Gordon,,14:22,3,5,0.600,1,2,0.500,1,1,1.000,1,0,1,1,0,0,0,2,8,3.000
Willie Green,,18:57,2,5,0.400,0,0,0.000,0,0,0.000,0,1,1,0,1,0,1,0,4,6.000
PHX
Marcus Morris,F,20:01,1,6,0.167,0,1,0.000,2,4,0.500,1,4,5,1,0,0,0,0,4,-6.000
Markieff Morris,F,38:44,7,15,0.467,0,4,0.000,4,5,0.800,3,7,10,7,0,1,3,4,18,6.000
Miles Plumlee,C,25:14,6,6,1.000,0,0,0.000,0,0,0.000,2,3,5,0,1,1,3,3,12,3.000
Goran Dragic,G,40:55,7,15,0.467,3,6,0.500,5,5,1.000,1,7,8,4,0,0,5,1,22,5.000
Eric Bledsoe,G,34:38,5,14,0.357,1,3,0.333,2,2,1.000,0,3,3,6,1,0,6,5,13,6.000
Alex Len,,15:51,0,6,0.000,0,0,0.000,0,0,0.000,3,2,5,1,0,1,0,2,0,-18.000
Gerald Green,,26:12,5,13,0.385,1,7,0.143,0,0,0.000,0,3,3,1,1,0,1,1,11,-1.000
PJ Tucker,,29:44,2,5,0.400,1,2,0.500,2,2,1.000,0,3,3,2,1,0,1,2,7,2.000
Anthony Tolliver,,7:31,1,3,0.333,1,3,0.333,0,0,0.000,0,0,0,0,1,0,0,0,3,-8.000
Archie Goodwin,,1:10,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,0,-4.000
