12-10,TOR-CLE,101-105,Team,
33-26,30-29,25-26,13-24,
TOR
Terrence Ross,F,27:42,8,13,0.615,1,4,0.250,1,1,1.000,1,2,3,1,0,0,5,2,18,-1.000
Amir Johnson,F,24:36,5,10,0.500,0,0,0.000,0,0,0.000,1,1,2,2,0,0,2,4,10,-2.000
Jonas Valanciunas,C,36:30,6,7,0.857,0,0,0.000,6,6,1.000,5,10,15,0,0,0,3,2,18,-5.000
Landry Fields,G,23:15,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,2,2,0,1,2,4,4.000
Kyle Lowry,G,40:11,6,18,0.333,2,8,0.250,2,2,1.000,1,3,4,14,1,0,0,5,16,1.000
Patrick Patterson,,26:22,5,7,0.714,2,2,1.000,0,0,0.000,1,3,4,1,0,2,1,0,12,-4.000
Lou Williams,,19:45,2,8,0.250,1,4,0.250,1,1,1.000,0,1,1,4,0,0,1,3,6,1.000
Greivis Vasquez,,12:43,1,3,0.333,1,3,0.333,0,0,0.000,0,0,0,2,0,0,1,0,3,-8.000
Charles Hayes,,7:21,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,2,1.000
James Johnson,,21:35,6,13,0.462,0,2,0.000,0,0,0.000,3,1,4,0,1,1,1,5,12,-7.000
CLE
LeBron James,F,41:53,12,21,0.571,2,5,0.400,9,9,1.000,1,1,2,4,2,2,2,1,35,7.000
Kevin Love,F,35:42,6,15,0.400,1,5,0.200,4,4,1.000,3,6,9,4,0,1,3,0,17,0.000
Anderson Varejao,C,16:17,4,10,0.400,0,0,0.000,0,0,0.000,3,3,6,1,0,1,1,4,8,-9.000
Shawn Marion,G,16:00,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-9.000
Kyrie Irving,G,42:27,5,12,0.417,1,5,0.200,2,2,1.000,0,1,1,10,2,0,2,3,13,6.000
Dion Waiters,,24:23,7,10,0.700,3,5,0.600,1,2,0.500,0,1,1,2,0,0,1,2,18,0.000
Tristan Thompson,,33:43,3,5,0.600,0,0,0.000,2,4,0.500,4,4,8,0,0,1,1,3,8,13.000
Matthew Dellavedova,,21:17,2,4,0.500,2,4,0.500,0,0,0.000,1,2,3,5,0,0,0,2,6,12.000
James Jones,,8:18,0,2,0.000,0,2,0.000,0,0,0.000,0,0,0,1,0,0,0,2,0,0.000
