12-16,ORL-TOR,82-95,Team,
25-28,27-16,13-27,17-24,
ORL
Tobias Harris,F,35:53,8,15,0.533,0,2,0.000,2,2,1.000,0,6,6,3,0,1,3,2,18,-11.000
Channing Frye,F,35:07,1,6,0.167,1,4,0.250,0,0,0.000,0,4,4,0,1,1,1,1,3,-18.000
Nikola Vucevic,C,34:33,6,13,0.462,0,0,0.000,1,3,0.333,3,6,9,2,2,2,4,4,13,-8.000
Evan Fournier,G,30:22,4,10,0.400,1,3,0.333,2,2,1.000,1,2,3,2,1,0,2,3,11,-22.000
Victor Oladipo,G,36:51,6,12,0.500,0,2,0.000,0,0,0.000,1,1,2,4,0,0,4,5,12,-12.000
Ben Gordon,,22:42,7,11,0.636,2,4,0.500,0,0,0.000,1,2,3,0,0,0,1,0,16,10.000
Elfrid Payton,,13:34,2,3,0.667,0,0,0.000,0,0,0.000,0,2,2,2,0,1,2,1,4,-6.000
Maurice Harkless,,12:00,1,3,0.333,0,0,0.000,1,1,1.000,0,1,1,0,1,1,0,2,3,-4.000
TOR
Terrence Ross,F,21:40,3,11,0.273,3,7,0.429,0,0,0.000,0,6,6,1,0,0,0,1,9,14.000
Amir Johnson,F,19:50,5,8,0.625,0,0,0.000,1,2,0.500,1,2,3,0,0,0,1,3,11,11.000
Jonas Valanciunas,C,22:39,2,6,0.333,0,0,0.000,2,2,1.000,2,6,8,0,0,1,1,1,6,2.000
Landry Fields,G,22:03,3,6,0.500,1,1,1.000,1,2,0.500,2,2,4,2,1,0,0,1,8,3.000
Kyle Lowry,G,31:20,6,12,0.500,4,6,0.667,1,2,0.500,1,4,5,8,2,1,4,3,17,15.000
James Johnson,,21:03,4,5,0.800,0,1,0.000,0,0,0.000,2,1,3,1,1,2,1,0,8,9.000
Patrick Patterson,,28:10,4,6,0.667,2,4,0.500,0,0,0.000,1,2,3,6,2,0,0,0,10,2.000
Lou Williams,,28:21,6,14,0.429,1,5,0.200,5,7,0.714,1,2,3,2,1,0,1,0,18,8.000
Greivis Vasquez,,19:33,2,9,0.222,0,5,0.000,0,0,0.000,1,1,2,4,0,0,3,2,4,-10.000
Tyler Hansbrough,,25:21,2,6,0.333,0,1,0.000,0,0,0.000,1,1,2,1,1,0,0,3,4,11.000
