12-20,MIN-BOS,98-114,Team,
24-27,24-26,29-30,21-31,
MIN
Andrew Wiggins,F,25:52,2,10,0.200,0,0,0.000,1,1,1.000,1,3,4,2,1,2,0,1,5,-11.000
Thaddeus Young,F,30:10,6,19,0.316,0,1,0.000,1,2,0.500,0,2,2,6,1,0,2,2,13,-11.000
Gorgui Dieng,C,33:19,4,10,0.400,0,0,0.000,1,1,1.000,4,0,4,1,1,2,2,3,9,-13.000
Shabazz Muhammad,G,38:05,11,15,0.733,2,2,1.000,2,2,1.000,2,3,5,5,0,0,2,1,26,-10.000
Zach LaVine,G,23:26,3,7,0.429,1,2,0.500,0,0,0.000,1,1,2,3,3,0,3,1,7,-3.000
Anthony Bennett,,16:13,3,8,0.375,0,1,0.000,1,2,0.500,4,3,7,1,0,0,0,2,7,-4.000
Mo Williams,,24:34,4,9,0.444,0,1,0.000,0,1,0.000,0,2,2,4,0,0,0,0,8,-13.000
Chase Budinger,,27:47,8,12,0.667,3,5,0.600,0,1,0.000,1,3,4,0,1,1,1,2,19,-12.000
Jeff Adrien,,14:41,1,2,0.500,0,0,0.000,1,4,0.250,2,5,7,1,0,0,2,1,3,-3.000
Robbie Hummel,,4:16,0,0,0.000,0,0,0.000,1,2,0.500,0,0,0,0,1,0,0,0,1,1.000
Glenn Robinson,,1:37,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-1.000
BOS
Jeff Green,F,36:23,6,13,0.462,2,4,0.500,4,4,1.000,1,6,7,3,0,0,1,2,18,15.000
Jared Sullinger,F,29:23,7,9,0.778,0,1,0.000,0,0,0.000,3,7,10,3,1,2,1,1,14,18.000
Tyler Zeller,C,24:27,7,9,0.778,0,0,0.000,0,0,0.000,0,4,4,3,0,1,3,3,14,9.000
Avery Bradley,G,32:02,6,14,0.429,0,3,0.000,2,2,1.000,2,3,5,7,3,1,0,2,14,16.000
Evan Turner,G,26:39,5,9,0.556,0,2,0.000,0,0,0.000,0,3,3,4,1,1,2,1,10,2.000
Kelly Olynyk,,25:14,8,13,0.615,2,4,0.500,3,6,0.500,2,6,8,3,0,1,0,5,21,6.000
Marcus Smart,,26:39,3,6,0.500,2,4,0.500,0,0,0.000,1,0,1,4,1,0,3,3,8,15.000
Brandon Bass,,16:56,4,7,0.571,0,1,0.000,1,2,0.500,1,1,2,0,1,0,2,2,9,-1.000
Phil Pressey,,15:46,2,5,0.400,2,4,0.500,0,0,0.000,2,0,2,2,1,0,1,1,6,1.000
Gerald Wallace,,6:31,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,0,0,-1.000
